"Seller","Tên Seller","Tên sản phẩm","Mã sản phẩm","SKU","ID","MSKU","MID","PSKU","PID","Trạng thái","Giá bán","Giá niêm yết","Lợi nhuận","Phí chiết khấu","Phí thanh toán","Phí lấy hàng","Phí vận chuyển","Phí xử lí đơn ","Phí trả góp","phí cố định","Phí vận chuyển cho khách hàng TikiNOW ( Khách hàng trả )","Phí vận chuyển cho khách hàng tiêu chuẩn ( Khách hàng trả )","Tổng phí thu bởi Tiki","Tồn kho Tiki","Danh sách mã kho hàng nhà bán","Số lượng tồn tương ứng từng kho hàng nhà bán","Loại nhập kho","Ngày tạo","Trọng lượng (kg)","Chiều dài (cm)","Chiều rộng (cm)","Chiều cao (cm)"
"344204","NGADO","Đầm đỏ nơ vai NGA DO - Size S","SP003734","6855125282132","273379820","1879488439125","273379819","1577972061916","273379818","Bật","950000","0","826500","-57000","-38000","0","-14000 -> -42000","0","-28500","0","20000 -> 25000","14000 -> 42000","-123500","0","","","Backorder","2023-11-20","0.3","28","42","2"
"344204","NGADO","Đầm đỏ nơ vai NGA DO - Size M","SP003735","9631149748033","273379822","2803572996366","273379821","1577972061916","273379818","Bật","950000","0","826500","-57000","-38000","0","-14000 -> -42000","0","-28500","0","20000 -> 25000","14000 -> 42000","-123500","0","","","Backorder","2023-11-20","0.3","28","42","2"
"344204","NGADO","Đầm đỏ nơ vai NGA DO - Size L","SP003736","2213203655862","273379824","1214902525013","273379823","1577972061916","273379818","Bật","950000","0","826500","-57000","-38000","0","-14000 -> -42000","0","-28500","0","20000 -> 25000","14000 -> 42000","-123500","0","","","Backorder","2023-11-20","0.3","28","42","2"
"344204","NGADO","Đầm đỏ nơ vai NGA DO - Size XL","SP003737","2934889618220","273379826","5830907901087","273379825","1577972061916","273379818","Bật","950000","0","826500","-57000","-38000","0","-14000 -> -42000","0","-28500","0","20000 -> 25000","14000 -> 42000","-123500","0","","","Backorder","2023-11-20","0.3","28","42","2"
"344204","NGADO","Áo đen cột eo NGA DO - Size S","SP003383","2954623103363","273380074","8568070601223","273380073","1996639215496","273380072","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","","","Backorder","2023-11-20","0.3","28","42","2"
"344204","NGADO","Áo đen cột eo NGA DO - Size M","SP003384","2965091332211","273380076","2242288543561","273380075","1996639215496","273380072","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","","","Backorder","2023-11-20","0.3","28","42","2"
"344204","NGADO","Áo đen cột eo NGA DO - Size L","SP003385","3871254021792","273380078","6752400626607","273380077","1996639215496","273380072","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","","","Backorder","2023-11-20","0.3","28","42","2"
"344204","NGADO","Áo đen cột eo NGA DO - Size XL","SP003386","3355669951952","273380080","2326115240274","273380079","1996639215496","273380072","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","","","Backorder","2023-11-20","0.3","28","42","2"
"344204","NGADO","Áo trắng tay con 2 túi NGADO - S","","8293729674492","273882982","8338366994848","273882444","4809546088090","273882433","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo trắng tay con 2 túi NGADO - M","","3917213842575","273882983","2958095605189","273882472","4809546088090","273882433","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo trắng tay con 2 túi NGADO - L","","8008447707022","273882984","2008650070019","273882485","4809546088090","273882433","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo trắng tay con 2 túi NGADO - XL","","6301021157331","273882985","9776703437171","273882496","4809546088090","273882433","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo sơ mi trắng tay con NGADO - XL","","1116797162255","273882999","1266038323020","273882432","5669554426608","273882405","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo xếp ly trắng NGADO - S","","4617545281299","273883019","1888191136970","273882425","9757642729008","273882420","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo xếp ly trắng NGADO - M","","1609257721516","273883020","2751907380126","273882439","9757642729008","273882420","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo xếp ly trắng NGADO - L","","4638692452768","273883021","8279153102010","273882452","9757642729008","273882420","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo xếp ly trắng NGADO - XL","","9072849042498","273883022","6802953327350","273882465","9757642729008","273882420","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc xanh NGADO - S","","2594612247694","273883031","6174470159571","273882654","8382943901976","273882653","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc xanh NGADO - M","","9359808818945","273883032","5783723854852","273882656","8382943901976","273882653","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc xanh NGADO - L","","2201993898913","273883033","5180061046726","273882658","8382943901976","273882653","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc xanh NGADO - XL","","8809978650924","273883034","9288750855177","273882660","8382943901976","273882653","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo sơ mi caro vàng ngắn tay NGADO - S","","8173194653731","273883052","7953022729324","273882645","4182376015734","273882644","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo sơ mi caro vàng ngắn tay NGADO - M","","4708332707246","273883053","8428583535418","273882647","4182376015734","273882644","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo sơ mi caro vàng ngắn tay NGADO - L","","7673839622674","273883054","3047487354973","273882649","4182376015734","273882644","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo sơ mi caro vàng ngắn tay NGADO - XL","","4224391527193","273883055","7659740881884","273882651","4182376015734","273882644","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo xếp ly xanh NGADO - S","","6885018829555","273883144","4775096596675","273882614","4459815581136","273882612","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","1","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo xếp ly xanh NGADO - M","","7666985576196","273883145","4016507579466","273882618","4459815581136","273882612","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo xếp ly xanh NGADO - L","","2590773514226","273883146","4280742520625","273882624","4459815581136","273882612","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo xếp ly xanh NGADO - XL","","3890585715952","273883147","7132746619164","273882632","4459815581136","273882612","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo trắng sát nách NGADO - S","","1117797932567","273883148","5152371791170","273882591","5332914531938","273882590","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo trắng sát nách NGADO - M","","2246223667446","273883149","4201571573896","273882593","5332914531938","273882590","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo trắng sát nách NGADO - L","","2836792314580","273883150","8714378453828","273882595","5332914531938","273882590","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo trắng sát nách NGADO - XL","","1418507663388","273883151","8777203369494","273882597","5332914531938","273882590","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-08","0.3","28","42","2"
"344204","NGADO","Áo đen ngắn tay NGADO - S","","8259776490748","273894547","9561905753276","273882600","7308235779818","273882599","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen ngắn tay NGADO - M","","2774511188502","273894548","3151675326867","273882603","7308235779818","273882599","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen ngắn tay NGADO - L","","2286365025377","273894549","4581239861960","273882607","7308235779818","273882599","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen ngắn tay NGADO - XL","","9690177904527","273894550","7108525954816","273882611","7308235779818","273882599","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sọc nhí biển tay con NGADO - XL","","1813695001912","273894611","3678137353972","273882638","6365397748248","273882620","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","1","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo khoác bông vàng NGADO - S","","7897523501129","273894668","5643197651973","273882519","2682593981418","273882518","Bật","650000","0","565500","-39000","-26000","0","-14000 -> -42000","0","-19500","0","20000 -> 25000","14000 -> 42000","-84500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo khoác bông vàng NGADO - M","","9556044342736","273894669","1789851543988","273882522","2682593981418","273882518","Bật","650000","0","565500","-39000","-26000","0","-14000 -> -42000","0","-19500","0","20000 -> 25000","14000 -> 42000","-84500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo khoác bông vàng NGADO - L","","7936897963563","273894670","2394376719359","273882527","2682593981418","273882518","Bật","650000","0","565500","-39000","-26000","0","-14000 -> -42000","0","-19500","0","20000 -> 25000","14000 -> 42000","-84500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo khoác bông vàng NGADO - XL","","2360538269798","273894671","3568130880333","273882533","2682593981418","273882518","Bật","650000","0","565500","-39000","-26000","0","-14000 -> -42000","0","-19500","0","20000 -> 25000","14000 -> 42000","-84500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí vàng NGADO - S","","6485066503156","273894757","4609654270008","273882528","4312141163077","273882523","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí vàng NGADO - M","","2741000605626","273894758","6998903346255","273882541","4312141163077","273882523","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí vàng NGADO - L","","9002027505336","273894759","4538696979292","273882550","4312141163077","273882523","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí vàng NGADO - XL","","6161299232004","273894760","6249106483930","273882571","4312141163077","273882523","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi trắng phối cổ đen NGADO - S","","9189120004048","273894829","7514525307042","273882508","9611903457610","273882506","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi trắng phối cổ đen NGADO - M","","7875538527491","273894830","4035037510124","273882512","9611903457610","273882506","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi trắng phối cổ đen NGADO - L","","8111410989306","273894831","2284423674883","273882514","9611903457610","273882506","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi trắng phối cổ đen NGADO - XL","","2862309442112","273894832","9074478990517","273882516","9611903457610","273882506","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cổ viền trắng NGADO - S","","4543240548114","273894853","6438362534620","273882554","5841395888964","273882548","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cổ viền trắng NGADO - M","","5861879507637","273894854","1694649226584","273882562","5841395888964","273882548","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cổ viền trắng NGADO - L","","2293702401322","273894855","1661696714456","273882569","5841395888964","273882548","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cổ viền trắng NGADO - XL","","9885899780171","273894856","8855433024866","273882578","5841395888964","273882548","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí biển NGADO - S","","4003681781393","273894895","1916614248761","273882421","7304610580204","273882416","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí biển NGADO - M","","9654664840449","273894896","8365018468716","273882434","7304610580204","273882416","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí biển NGADO - L","","6392871313856","273894897","2551444251109","273882450","7304610580204","273882416","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí biển NGADO - XL","","3624354960361","273894898","4553894045646","273882464","7304610580204","273882416","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí cam NGADO - S","","5848938058467","273894997","7263191542344","273882436","2314593324616","273882427","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí cam NGADO - M","","9977568421837","273894998","8759238372865","273882457","2314593324616","273882427","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí cam NGADO - L","","2491752139562","273894999","7090835327851","273882480","2314593324616","273882427","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí cam NGADO - XL","","3872511926348","273895000","1815358628310","273882489","2314593324616","273882427","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi hồng nhạt NGADO - S","","5070228566529","273895008","4470506630388","273882414","8889375163141","273882411","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi hồng nhạt NGADO - M","","3272591098903","273895009","3379159642150","273882424","8889375163141","273882411","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi hồng nhạt NGADO - L","","1429776787526","273895010","8387663692519","273882438","8889375163141","273882411","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi hồng nhạt NGADO - XL","","2271784401955","273895011","5155703213408","273882453","8889375163141","273882411","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cột eo NGADO - S","","8680541827147","273895017","3155349059277","273882430","3575972841477","273882423","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cột eo NGADO - M","","7341714599379","273895018","9470663549010","273882446","3575972841477","273882423","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cột eo NGADO - L","","4293642610998","273895019","9479701735252","273882462","3575972841477","273882423","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cột eo NGADO - XL","","5129181714139","273895020","1516734977334","273882473","3575972841477","273882423","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo trắng dập li NGADO - M","","7435612751945","273895044","4117706139271","273882404","1027445999014","273882401","Bật","650000","0","565500","-39000","-26000","0","-14000 -> -42000","0","-19500","0","20000 -> 25000","14000 -> 42000","-84500","0","407632","1","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi trắng NGADO - S","","4932868965098","273895054","2203659671408","273882435","2186957220155","273882426","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi trắng NGADO - M","","5020616372640","273895055","6199117709817","273882456","2186957220155","273882426","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi trắng NGADO - L","","5389297661098","273895056","5582976380370","273882479","2186957220155","273882426","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi trắng NGADO - XL","","6397119701346","273895057","7925730009841","273882490","2186957220155","273882426","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo caro đen tay con NGADO - S","","5306666035499","273895058","4449876053255","273882458","8927420785571","273882441","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo caro đen tay con NGADO - M","","2435562873664","273895059","6978558188316","273882476","8927420785571","273882441","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo caro đen tay con NGADO - L","","6783560367613","273895060","5907390633769","273882487","8927420785571","273882441","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo caro đen tay con NGADO - XL","","7278704198600","273895061","4028778337812","273882497","8927420785571","273882441","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cổ tròn NGADO - S","","8098944857454","273895065","1873160822830","273882560","3391849595985","273882551","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cổ tròn NGADO - M","","6725238749730","273895066","8474971059276","273882576","3391849595985","273882551","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cổ tròn NGADO - L","","8659183919557","273895067","3440269964708","273882585","3391849595985","273882551","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo đen cổ tròn NGADO - XL","","6109708172828","273895068","3105189556481","273882588","3391849595985","273882551","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí đen NGADO - S","","6867279386294","273895071","1278364025799","273882530","5161102490083","273882524","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí đen NGADO - M","","9820117547561","273895072","8155876676952","273882540","5161102490083","273882524","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí đen NGADO - L","","9303942439776","273895073","2499945170709","273882553","5161102490083","273882524","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo sơ mi sọc nhí đen NGADO - XL","","9091536278490","273895074","1872325044280","273882567","5161102490083","273882524","Bật","490000","0","426300","-29400","-19600","0","-14000 -> -42000","0","-14700","0","20000 -> 25000","14000 -> 42000","-63700","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo trắng cổ tròn NGADO - S","","8571855008969","273895078","1562275783293","273882628","8559133413926","273882626","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
"344204","NGADO","Áo trắng cổ tròn NGADO - M","","2508895087908","273895079","5617638111434","273882634","8559133413926","273882626","Bật","550000","0","478500","-33000","-22000","0","-14000 -> -42000","0","-16500","0","20000 -> 25000","14000 -> 42000","-71500","0","407632","2","Backorder","2024-01-09","0.3","28","42","2"
